timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683375859399,83,S01_T01_LaunchApp-32,200,,parallel bzm - Parallel Controller,text,true,,531,1024,20,2,http://localhost:8080/api/v1/product/51/price/,81,0,1
1683375859405,77,S01_T01_LaunchApp-30,200,,parallel bzm - Parallel Controller,text,true,,531,1024,20,2,http://localhost:8080/api/v1/product/51/price/,64,0,1
1683375859369,116,S01_T01_LaunchApp-06,200,,parallel bzm - Parallel Controller,,true,,533,1012,18,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,116,0,2
1683375859374,112,S01_T01_LaunchApp-07,200,,parallel bzm - Parallel Controller,,true,,533,1019,18,2,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,112,0,2
1683375859378,109,S01_T01_LaunchApp-05,200,,parallel bzm - Parallel Controller,text,true,,450,985,16,2,http://localhost:8080/actuator/health/ping,86,0,1
1683375859378,109,S01_T01_LaunchApp-16,200,,parallel bzm - Parallel Controller,text,true,,511,1017,16,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,86,0,1
1683375859402,87,S01_T01_LaunchApp-29,200,,parallel bzm - Parallel Controller,text,true,,531,1023,14,3,http://localhost:8080/api/v1/product/1/price/,85,0,0
1683375859381,109,S01_T01_LaunchApp-12,200,,parallel bzm - Parallel Controller,,true,,533,989,13,3,http://localhost:8080/api/v1/store/DEFAULT,109,0,1
1683375859378,114,S01_T01_LaunchApp-11,200,,parallel bzm - Parallel Controller,,true,,533,1016,12,3,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,114,0,2
1683375859394,101,S01_T01_LaunchApp-20,200,,parallel bzm - Parallel Controller,,true,,533,992,11,3,http://localhost:8080/api/v1/product/1/price/,101,0,1
1683375859398,99,S01_T01_LaunchApp-28,200,,parallel bzm - Parallel Controller,text,true,,529,1024,10,3,http://localhost:8080/api/v1/product/50/price/,73,0,1
1683375859396,103,S01_T01_LaunchApp-24,200,,parallel bzm - Parallel Controller,,true,,533,993,9,3,http://localhost:8080/api/v1/product/52/price/,103,0,1
1683375859394,106,S01_T01_LaunchApp-14,200,,parallel bzm - Parallel Controller,text,true,,1163,985,9,3,http://localhost:8080/api/v1/store/DEFAULT,71,0,1
1683375859380,121,S01_T01_LaunchApp-10,200,,parallel bzm - Parallel Controller,text,true,,9311,1015,7,3,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,91,0,1
1683375859394,109,S01_T01_LaunchApp-23,200,,parallel bzm - Parallel Controller,,true,,533,993,6,3,http://localhost:8080/api/v1/product/51/price/,109,0,1
1683375859396,140,S01_T01_LaunchApp-17,200,,parallel bzm - Parallel Controller,,true,,533,993,5,3,http://localhost:8080/api/v1/product/50/price/,140,0,1
1683375859396,140,S01_T01_LaunchApp-13,200,,parallel bzm - Parallel Controller,,true,,533,1021,5,3,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,140,0,1
1683375859400,136,S01_T01_LaunchApp-18,200,,parallel bzm - Parallel Controller,,true,,533,993,5,2,http://localhost:8080/api/v1/product/52/price/,136,0,1
1683375859399,139,S01_T01_LaunchApp-22,200,,parallel bzm - Parallel Controller,,true,,533,993,2,3,http://localhost:8080/api/v1/product/51/price/,139,0,1
1683375859395,147,S01_T01_LaunchApp-19,200,,parallel bzm - Parallel Controller,,true,,533,993,1,3,http://localhost:8080/api/v1/product/50/price/,147,0,2
1683375859519,28,S01_T01_LaunchApp-04,200,,parallel bzm - Parallel Controller,,true,,533,989,28,3,http://localhost:8080/actuator/health/ping,28,0,0
1683375859510,38,S01_T01_LaunchApp-05,200,,parallel bzm - Parallel Controller,text,true,,450,985,28,3,http://localhost:8080/actuator/health/ping,38,0,3
1683375859517,36,S01_T01_LaunchApp-15,200,,parallel bzm - Parallel Controller,text,true,,1531,1012,26,3,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,33,0,1
