timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683375212555,51,S01_T01_LaunchApp-15,200,,parallel bzm - Parallel Controller,text,true,,1531,1012,28,1,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,50,0,1
1683375212553,54,S01_T01_LaunchApp-04,200,,parallel bzm - Parallel Controller,,true,,533,989,28,1,http://localhost:8080/actuator/health/ping,54,0,2
1683375212551,56,S01_T01_LaunchApp-05,200,,parallel bzm - Parallel Controller,text,true,,450,985,28,1,http://localhost:8080/actuator/health/ping,56,0,1
1683375212558,68,S01_T01_LaunchApp-16,200,,parallel bzm - Parallel Controller,text,true,,511,1017,25,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,68,0,1
1683375212551,101,S01_T01_LaunchApp-07,200,,parallel bzm - Parallel Controller,,true,,533,1019,24,2,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,101,0,1
1683375212551,101,S01_T01_LaunchApp-09,404,,parallel bzm - Parallel Controller,text,false,,522,1008,24,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,100,0,1
1683375212571,88,S01_T01_LaunchApp-32,200,,parallel bzm - Parallel Controller,text,true,,531,1024,22,2,http://localhost:8080/api/v1/product/51/price/,88,0,2
1683375212559,101,S01_T01_LaunchApp-10,200,,parallel bzm - Parallel Controller,text,true,,9311,1015,22,2,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=&lang=en,101,0,1
1683375212558,102,S01_T01_LaunchApp-17,200,,parallel bzm - Parallel Controller,,true,,533,993,22,2,http://localhost:8080/api/v1/product/50/price/,102,0,1
1683375212551,113,S01_T01_LaunchApp-06,200,,parallel bzm - Parallel Controller,,true,,533,1012,19,2,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,113,0,1
1683375212561,103,S01_T01_LaunchApp-14,200,,parallel bzm - Parallel Controller,text,true,,1163,985,19,2,http://localhost:8080/api/v1/store/DEFAULT,97,0,1
1683375212567,116,S01_T01_LaunchApp-25,200,,parallel bzm - Parallel Controller,text,true,,531,1023,17,2,http://localhost:8080/api/v1/product/1/price/,116,0,6
1683375212554,129,S01_T01_LaunchApp-11,200,,parallel bzm - Parallel Controller,,true,,533,1016,17,2,http://localhost:8080/api/v1/category/?count=20&page=0&store=&lang=en,129,0,1
1683375212555,131,S01_T01_LaunchApp-13,200,,parallel bzm - Parallel Controller,,true,,533,1021,15,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,131,0,1
1683375212569,117,S01_T01_LaunchApp-28,200,,parallel bzm - Parallel Controller,text,true,,529,1024,15,2,http://localhost:8080/api/v1/product/50/price/,117,0,3
1683375212561,126,S01_T01_LaunchApp-12,200,,parallel bzm - Parallel Controller,,true,,533,989,13,2,http://localhost:8080/api/v1/store/DEFAULT,126,0,1
1683375212574,116,S01_T01_LaunchApp-31,200,,parallel bzm - Parallel Controller,text,true,,531,1024,12,2,http://localhost:8080/api/v1/product/52/price/,112,0,7
1683375212570,120,S01_T01_LaunchApp-26,200,,parallel bzm - Parallel Controller,text,true,,531,1024,12,2,http://localhost:8080/api/v1/product/52/price/,119,0,2
1683375212570,131,S01_T01_LaunchApp-27,200,,parallel bzm - Parallel Controller,text,true,,529,1024,10,2,http://localhost:8080/api/v1/product/50/price/,125,0,2
1683375212558,144,S01_T01_LaunchApp-18,200,,parallel bzm - Parallel Controller,,true,,533,993,10,2,http://localhost:8080/api/v1/product/52/price/,144,0,1
1683375212574,176,S01_T01_LaunchApp-22,200,,parallel bzm - Parallel Controller,,true,,533,993,8,2,http://localhost:8080/api/v1/product/51/price/,176,0,11
1683375212573,177,S01_T01_LaunchApp-29,200,,parallel bzm - Parallel Controller,text,true,,531,1023,8,2,http://localhost:8080/api/v1/product/1/price/,131,0,12
1683375212560,191,S01_T01_LaunchApp-21,200,,parallel bzm - Parallel Controller,,true,,533,992,8,2,http://localhost:8080/api/v1/product/1/price/,191,0,1
1683375212560,191,S01_T01_LaunchApp-19,200,,parallel bzm - Parallel Controller,,true,,533,993,8,2,http://localhost:8080/api/v1/product/50/price/,191,0,1
1683375212568,183,S01_T01_LaunchApp-23,200,,parallel bzm - Parallel Controller,,true,,533,993,8,2,http://localhost:8080/api/v1/product/51/price/,183,0,2
1683375212568,183,S01_T01_LaunchApp-20,200,,parallel bzm - Parallel Controller,,true,,533,992,8,2,http://localhost:8080/api/v1/product/1/price/,183,0,5
1683375212571,180,S01_T01_LaunchApp-30,200,,parallel bzm - Parallel Controller,text,true,,531,1024,8,2,http://localhost:8080/api/v1/product/51/price/,180,0,2
1683375212718,43,S01_T01_LaunchApp-16,200,,parallel bzm - Parallel Controller,text,true,,511,1017,28,2,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=&lang=en,43,0,1
1683375212710,52,S01_T01_LaunchApp-04,200,,parallel bzm - Parallel Controller,,true,,533,989,28,2,http://localhost:8080/actuator/health/ping,52,0,1
1683375212566,196,S01_T01_LaunchApp-24,200,,parallel bzm - Parallel Controller,,true,,533,993,1,2,http://localhost:8080/api/v1/product/52/price/,196,0,2
